#
#   VizieR Astronomical Server vizier.cfa.harvard.edu
#    Date: 2018-04-04T15:39:06 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)	
#INFO	-ref=VIZ5ac4ee9a2255	
#INFO	-out.max=unlimited	
#INFO	queryParameters=17	
#-oc.form=dec
#-out.max=unlimited
#-nav=cat:J/A+AS/130/65&tab:{J/A+AS/130/65/lcb98cor}&key:source=J/A+AS/130/65/lcb98cor&HTTPPRM:&
#-source=J/A+AS/130/65/lcb98cor
#-order=I
#-out=Teff
#-out=logg
#-out=[Fe/H]
#-out=U-B
#-out=B-V
#-out=V-R
#-out=V-I
#-out=V-K
#-out=R-I
#-out=J-H
#-out=H-K
#-out=J-K
#

#RESOURCE=yCat_41300065
#Name: J/A+AS/130/65
#Title: A standard stellar library. II. (Lejeune+ 1998)
#Table	J_A_AS_130_65_lcb98cor:
#Name: J/A+AS/130/65/lcb98cor
#Title: All files lcb98*.cor: Synthetic colors from corrected Stellar Energy Distributions (SEDS)
#Column	Teff	(F6)	Effective temperature	[ucd=phys.temperature.effective]
#Column	logg	(F6.2)	Surface gravity	[ucd=phys.gravity]
#Column	[Fe/H]	(F4.1)	Metallicity	[ucd=phys.abund.Fe]
#Column	U-B	(F7.3)	(U-B) colour (energy-weighted)	[ucd=phot.color;em.opt.U;em.opt.B]
#Column	B-V	(F7.3)	(B-V) colour (energy-weighted)	[ucd=phot.color;em.opt.B;em.opt.V]
#Column	V-R	(F7.3)	(V-R) colour (energy-weighted)	[ucd=phot.color;em.opt.V;em.opt.R]
#Column	V-I	(F7.3)	(V-I) colour (energy-weighted)	[ucd=phot.color;em.opt.V;em.opt.I]
#Column	V-K	(F7.3)	(V-K) colour (energy-weighted)	[ucd=phot.color;em.opt.V;em.IR.K]
#Column	R-I	(F7.3)	(R-I) colour (energy-weighted)	[ucd=phot.color;em.opt.R;em.opt.I]
#Column	J-H	(F7.3)	(J-H) colour (energy-weighted)	[ucd=phot.color;em.IR.J;em.IR.H]
#Column	H-K	(F7.3)	(H-K) colour (energy-weighted)	[ucd=phot.color;em.IR.H;em.IR.K]
#Column	J-K	(F7.3)	(J-K) colour (energy-weighted)	[ucd=phot.color;em.IR.J;em.IR.K]
Teff;logg;[Fe/H];U-B;B-V;V-R;V-I;V-K;R-I;J-H;H-K;J-K
  8000;  4.00;-1.5;  0.058;  0.147;  0.078;  0.198;  0.465;  0.120;  0.085;  0.021;  0.106
  8000;  4.50;-1.5; -0.031;  0.185;  0.098;  0.237;  0.506;  0.139;  0.094;  0.019;  0.113
  8000;  5.00;-1.5; -0.102;  0.209;  0.110;  0.263;  0.540;  0.153;  0.107;  0.014;  0.121
  8250;  1.50;-1.5;  0.017; -0.021;  0.012;  0.059;  0.288;  0.048;  0.064;  0.004;  0.068
  8250;  2.00;-1.5;  0.077; -0.023;  0.009;  0.055;  0.293;  0.046;  0.062;  0.007;  0.069
  8250;  2.50;-1.5;  0.116; -0.004;  0.013;  0.063;  0.306;  0.050;  0.061;  0.011;  0.071
  8250;  3.00;-1.5;  0.133;  0.024;  0.021;  0.079;  0.325;  0.058;  0.062;  0.013;  0.076
  8250;  3.50;-1.5;  0.125;  0.058;  0.032;  0.101;  0.349;  0.070;  0.066;  0.015;  0.081
  8250;  4.00;-1.5;  0.072;  0.105;  0.049;  0.135;  0.381;  0.085;  0.072;  0.013;  0.085
  8250;  4.50;-1.5; -0.021;  0.148;  0.071;  0.176;  0.425;  0.106;  0.081;  0.012;  0.094
  8250;  5.00;-1.5; -0.106;  0.180;  0.088;  0.210;  0.463;  0.123;  0.092;  0.010;  0.101
  8500;  1.50;-1.5; -0.056; -0.022;  0.019;  0.068;  0.250;  0.048;  0.056; -0.003;  0.053
  8500;  2.00;-1.5;  0.015; -0.035;  0.011;  0.053;  0.245;  0.042;  0.052;  0.001;  0.052
  8500;  2.50;-1.5;  0.065; -0.023;  0.012;  0.055;  0.251;  0.043;  0.049;  0.004;  0.054
  8500;  3.00;-1.5;  0.096;  0.001;  0.016;  0.065;  0.264;  0.049;  0.049;  0.008;  0.057
  8500;  3.50;-1.5;  0.103;  0.033;  0.024;  0.082;  0.282;  0.058;  0.051;  0.010;  0.061
  8500;  4.00;-1.5;  0.081;  0.070;  0.035;  0.105;  0.306;  0.070;  0.055;  0.010;  0.065
  8500;  4.50;-1.5;  0.010;  0.117;  0.054;  0.141;  0.339;  0.087;  0.062;  0.007;  0.069
  8500;  5.00;-1.5; -0.089;  0.156;  0.074;  0.181;  0.380;  0.107;  0.072;  0.005;  0.077
  8750;  2.00;-1.5; -0.045; -0.042;  0.016;  0.063;  0.193;  0.046;  0.038; -0.004;  0.034
  8750;  2.50;-1.5;  0.013; -0.037;  0.014;  0.058;  0.192;  0.044;  0.034;  0.000;  0.034
  8750;  3.00;-1.5;  0.054; -0.017;  0.016;  0.063;  0.199;  0.047;  0.032;  0.004;  0.036
  8750;  3.50;-1.5;  0.075;  0.012;  0.021;  0.075;  0.212;  0.053;  0.032;  0.007;  0.039
  8750;  4.00;-1.5;  0.070;  0.047;  0.029;  0.093;  0.230;  0.064;  0.034;  0.008;  0.043
  8750;  4.50;-1.5;  0.033;  0.088;  0.041;  0.117;  0.252;  0.076;  0.039;  0.007;  0.046
  8750;  5.00;-1.5; -0.057;  0.132;  0.060;  0.155;  0.286;  0.095;  0.048;  0.002;  0.050
  9000;  2.00;-1.5; -0.104; -0.048;  0.014;  0.053;  0.137;  0.039;  0.028; -0.009;  0.019
  9000;  2.50;-1.5; -0.042; -0.050;  0.009;  0.043;  0.131;  0.034;  0.023; -0.005;  0.018
  9000;  3.00;-1.5;  0.007; -0.034;  0.008;  0.043;  0.133;  0.034;  0.019; -0.001;  0.018
  9000;  3.50;-1.5;  0.039; -0.008;  0.011;  0.050;  0.140;  0.039;  0.018;  0.003;  0.020
  9000;  4.00;-1.5;  0.048;  0.025;  0.017;  0.064;  0.153;  0.047;  0.019;  0.005;  0.023
  9000;  4.50;-1.5;  0.030;  0.061;  0.025;  0.082;  0.172;  0.058;  0.023;  0.004;  0.027
  9000;  5.00;-1.5; -0.014;  0.098;  0.035;  0.106;  0.196;  0.071;  0.030;  0.002;  0.032
  9250;  2.00;-1.5; -0.157; -0.053;  0.003;  0.018;  0.092;  0.015;  0.027; -0.013;  0.015
  9250;  2.50;-1.5; -0.092; -0.059; -0.005;  0.003;  0.082;  0.008;  0.022; -0.009;  0.013
  9250;  3.00;-1.5; -0.039; -0.048; -0.007; -0.001;  0.080;  0.006;  0.017; -0.004;  0.013
  9250;  3.50;-1.5; -0.001; -0.025; -0.006;  0.003;  0.083;  0.009;  0.015; -0.001;  0.014
  9250;  4.00;-1.5;  0.019;  0.005; -0.003;  0.012;  0.091;  0.015;  0.014;  0.001;  0.016
  9250;  4.50;-1.5;  0.013;  0.040;  0.003;  0.027;  0.105;  0.024;  0.017;  0.002;  0.019
  9250;  5.00;-1.5; -0.020;  0.078;  0.011;  0.047;  0.124;  0.036;  0.022;  0.000;  0.023
  9500;  2.00;-1.5; -0.194; -0.055; -0.001;  0.004;  0.041;  0.005;  0.024; -0.016;  0.009
  9500;  2.50;-1.5; -0.129; -0.064; -0.010; -0.013;  0.029; -0.003;  0.019; -0.012;  0.006
  9500;  3.00;-1.5; -0.076; -0.057; -0.014; -0.020;  0.024; -0.006;  0.014; -0.008;  0.006
  9500;  3.50;-1.5; -0.033; -0.038; -0.014; -0.019;  0.024; -0.005;  0.010; -0.004;  0.006
  9500;  4.00;-1.5; -0.005; -0.010; -0.012; -0.014;  0.028; -0.001;  0.008; -0.001;  0.007
  9500;  4.50;-1.5;  0.001;  0.024; -0.009; -0.003;  0.036;  0.006;  0.009;  0.000;  0.009
  9500;  5.00;-1.5; -0.020;  0.063; -0.003;  0.013;  0.050;  0.016;  0.013; -0.001;  0.012
  9750;  2.00;-1.5; -0.227; -0.055; -0.002; -0.001;  0.001;  0.000;  0.018; -0.018;  0.000
  9750;  2.50;-1.5; -0.162; -0.066; -0.012; -0.020; -0.014; -0.008;  0.012; -0.016; -0.003
  9750;  3.00;-1.5; -0.110; -0.062; -0.017; -0.029; -0.020; -0.012;  0.007; -0.012; -0.004
  9750;  3.50;-1.5; -0.065; -0.047; -0.018; -0.031; -0.022; -0.012;  0.003; -0.007; -0.004
  9750;  4.00;-1.5; -0.032; -0.022; -0.018; -0.028; -0.022; -0.010;  0.001; -0.004; -0.004
  9750;  4.50;-1.5; -0.017;  0.011; -0.016; -0.020; -0.018; -0.005;  0.000; -0.003; -0.002
  9750;  5.00;-1.5; -0.027;  0.049; -0.011; -0.008; -0.009;  0.004;  0.003; -0.003;  0.000
 10000;  2.00;-1.5; -0.272; -0.059;  0.000; -0.001; -0.028; -0.001;  0.011; -0.020; -0.009
 10000;  2.50;-1.5; -0.207; -0.071; -0.011; -0.021; -0.043; -0.010;  0.006; -0.018; -0.012
 10000;  3.00;-1.5; -0.154; -0.069; -0.016; -0.031; -0.051; -0.014;  0.001; -0.014; -0.013
 10000;  3.50;-1.5; -0.109; -0.057; -0.019; -0.034; -0.054; -0.016; -0.004; -0.010; -0.013
 10000;  4.00;-1.5; -0.074; -0.034; -0.019; -0.034; -0.056; -0.014; -0.007; -0.006; -0.013
 10000;  4.50;-1.5; -0.053; -0.004; -0.018; -0.028; -0.055; -0.010; -0.008; -0.005; -0.012
 10000;  5.00;-1.5; -0.056;  0.033; -0.016; -0.019; -0.050; -0.003; -0.006; -0.005; -0.011
 10500;  2.00;-1.5; -0.356; -0.069;  0.001; -0.002; -0.075; -0.003;  0.002; -0.025; -0.023
 10500;  2.50;-1.5; -0.289; -0.083; -0.011; -0.023; -0.092; -0.012; -0.004; -0.024; -0.027
 10500;  3.00;-1.5; -0.237; -0.084; -0.017; -0.034; -0.101; -0.017; -0.009; -0.020; -0.029
 10500;  3.50;-1.5; -0.193; -0.075; -0.020; -0.039; -0.106; -0.019; -0.013; -0.017; -0.029
 10500;  4.00;-1.5; -0.157; -0.057; -0.022; -0.041; -0.109; -0.019; -0.016; -0.013; -0.029
 10500;  4.50;-1.5; -0.130; -0.032; -0.022; -0.039; -0.112; -0.016; -0.018; -0.011; -0.029
 10500;  5.00;-1.5; -0.121;  0.002; -0.022; -0.034; -0.112; -0.012; -0.018; -0.010; -0.029
 11000;  2.50;-1.5; -0.358; -0.096; -0.012; -0.028; -0.151; -0.016; -0.015; -0.030; -0.045
 11000;  3.00;-1.5; -0.307; -0.098; -0.019; -0.040; -0.161; -0.021; -0.019; -0.027; -0.046
 11000;  3.50;-1.5; -0.264; -0.091; -0.023; -0.046; -0.167; -0.023; -0.023; -0.024; -0.047
 11000;  4.00;-1.5; -0.228; -0.077; -0.025; -0.049; -0.171; -0.024; -0.027; -0.021; -0.047
 11000;  4.50;-1.5; -0.200; -0.056; -0.026; -0.049; -0.175; -0.023; -0.029; -0.018; -0.047
 11000;  5.00;-1.5; -0.184; -0.026; -0.027; -0.047; -0.178; -0.020; -0.030; -0.017; -0.047
 11500;  2.50;-1.5; -0.441; -0.116; -0.016; -0.038; -0.224; -0.022; -0.030; -0.034; -0.064
 11500;  3.00;-1.5; -0.390; -0.119; -0.023; -0.050; -0.233; -0.027; -0.034; -0.032; -0.066
 11500;  3.50;-1.5; -0.348; -0.114; -0.027; -0.056; -0.239; -0.030; -0.038; -0.030; -0.067
 11500;  4.00;-1.5; -0.314; -0.102; -0.029; -0.060; -0.244; -0.031; -0.041; -0.027; -0.068
 11500;  4.50;-1.5; -0.286; -0.083; -0.031; -0.061; -0.249; -0.030; -0.043; -0.025; -0.068
 11500;  5.00;-1.5; -0.268; -0.057; -0.033; -0.061; -0.253; -0.028; -0.044; -0.023; -0.067
 12000;  2.50;-1.5; -0.433; -0.105; -0.031; -0.062; -0.230; -0.031; -0.021; -0.034; -0.055
 12000;  3.00;-1.5; -0.382; -0.108; -0.037; -0.074; -0.240; -0.037; -0.025; -0.032; -0.057
 12000;  3.50;-1.5; -0.342; -0.104; -0.041; -0.081; -0.247; -0.040; -0.029; -0.030; -0.058
 12000;  4.00;-1.5; -0.308; -0.094; -0.044; -0.084; -0.252; -0.040; -0.032; -0.027; -0.059
 12000;  4.50;-1.5; -0.280; -0.077; -0.046; -0.087; -0.256; -0.040; -0.034; -0.025; -0.059
 12000;  5.00;-1.5; -0.261; -0.055; -0.048; -0.087; -0.261; -0.039; -0.035; -0.024; -0.059
 12500;  2.50;-1.5; -0.475; -0.113; -0.035; -0.072; -0.265; -0.037; -0.026; -0.037; -0.063
 12500;  3.00;-1.5; -0.425; -0.117; -0.041; -0.084; -0.275; -0.042; -0.030; -0.035; -0.065
 12500;  3.50;-1.5; -0.385; -0.113; -0.045; -0.091; -0.281; -0.045; -0.033; -0.033; -0.067
 12500;  4.00;-1.5; -0.353; -0.104; -0.048; -0.095; -0.287; -0.047; -0.036; -0.031; -0.067
 12500;  4.50;-1.5; -0.327; -0.089; -0.051; -0.097; -0.292; -0.046; -0.038; -0.029; -0.067
 12500;  5.00;-1.5; -0.307; -0.069; -0.053; -0.098; -0.297; -0.045; -0.039; -0.028; -0.067
 13000;  2.50;-1.5; -0.514; -0.121; -0.039; -0.082; -0.298; -0.043; -0.030; -0.040; -0.070
 13000;  3.00;-1.5; -0.464; -0.125; -0.045; -0.093; -0.308; -0.048; -0.034; -0.038; -0.073
 13000;  3.50;-1.5; -0.425; -0.122; -0.049; -0.100; -0.314; -0.051; -0.038; -0.036; -0.074
 13000;  4.00;-1.5; -0.394; -0.113; -0.052; -0.104; -0.319; -0.052; -0.040; -0.035; -0.075
 13000;  4.50;-1.5; -0.369; -0.099; -0.055; -0.107; -0.324; -0.052; -0.042; -0.033; -0.075
 13000;  5.00;-1.5; -0.351; -0.081; -0.057; -0.108; -0.329; -0.051; -0.043; -0.032; -0.075
 14000;  2.00;-1.5; -0.663; -0.115; -0.034; -0.076; -0.336; -0.042; -0.033; -0.045; -0.079
 14000;  2.50;-1.5; -0.583; -0.136; -0.047; -0.101; -0.359; -0.053; -0.039; -0.046; -0.084
 14000;  3.00;-1.5; -0.533; -0.141; -0.054; -0.112; -0.368; -0.058; -0.042; -0.044; -0.087
 14000;  3.50;-1.5; -0.496; -0.138; -0.057; -0.118; -0.373; -0.061; -0.045; -0.042; -0.088
 14000;  4.00;-1.5; -0.467; -0.130; -0.060; -0.122; -0.377; -0.062; -0.048; -0.041; -0.088
 14000;  4.50;-1.5; -0.444; -0.117; -0.062; -0.124; -0.382; -0.062; -0.049; -0.039; -0.089
 14000;  5.00;-1.5; -0.428; -0.101; -0.064; -0.125; -0.387; -0.061; -0.050; -0.039; -0.089
 15000;  2.50;-1.5; -0.645; -0.149; -0.055; -0.118; -0.414; -0.063; -0.047; -0.051; -0.098
 15000;  3.00;-1.5; -0.593; -0.155; -0.061; -0.129; -0.422; -0.068; -0.049; -0.050; -0.099
 15000;  3.50;-1.5; -0.557; -0.153; -0.064; -0.134; -0.426; -0.070; -0.052; -0.048; -0.100
 15000;  4.00;-1.5; -0.529; -0.145; -0.067; -0.138; -0.429; -0.071; -0.054; -0.046; -0.101
 15000;  4.50;-1.5; -0.509; -0.133; -0.069; -0.140; -0.433; -0.071; -0.056; -0.045; -0.101
 15000;  5.00;-1.5; -0.494; -0.118; -0.071; -0.141; -0.438; -0.071; -0.057; -0.045; -0.102
 16000;  2.50;-1.5; -0.702; -0.161; -0.061; -0.132; -0.463; -0.071; -0.053; -0.057; -0.110
 16000;  3.00;-1.5; -0.647; -0.168; -0.068; -0.145; -0.471; -0.076; -0.056; -0.055; -0.111
 16000;  3.50;-1.5; -0.611; -0.166; -0.071; -0.150; -0.474; -0.078; -0.058; -0.053; -0.112
 16000;  4.00;-1.5; -0.584; -0.159; -0.073; -0.153; -0.477; -0.079; -0.060; -0.052; -0.112
 16000;  4.50;-1.5; -0.565; -0.148; -0.075; -0.155; -0.480; -0.079; -0.062; -0.050; -0.112
 16000;  5.00;-1.5; -0.552; -0.134; -0.077; -0.156; -0.484; -0.079; -0.062; -0.050; -0.112
 17000;  2.50;-1.5; -0.756; -0.171; -0.067; -0.145; -0.507; -0.079; -0.060; -0.061; -0.121
 17000;  3.00;-1.5; -0.697; -0.180; -0.074; -0.158; -0.516; -0.084; -0.062; -0.060; -0.122
 17000;  3.50;-1.5; -0.660; -0.178; -0.078; -0.164; -0.518; -0.086; -0.064; -0.058; -0.122
 17000;  4.00;-1.5; -0.633; -0.172; -0.080; -0.166; -0.520; -0.087; -0.066; -0.056; -0.122
 17000;  4.50;-1.5; -0.615; -0.162; -0.081; -0.168; -0.523; -0.087; -0.067; -0.055; -0.122
 17000;  5.00;-1.5; -0.603; -0.148; -0.083; -0.169; -0.527; -0.086; -0.068; -0.055; -0.123
 18000;  2.50;-1.5; -0.806; -0.180; -0.071; -0.157; -0.547; -0.085; -0.065; -0.066; -0.131
 18000;  3.00;-1.5; -0.744; -0.190; -0.080; -0.171; -0.556; -0.091; -0.068; -0.064; -0.132
 18000;  3.50;-1.5; -0.705; -0.190; -0.083; -0.176; -0.559; -0.093; -0.069; -0.063; -0.132
 18000;  4.00;-1.5; -0.678; -0.184; -0.085; -0.180; -0.560; -0.094; -0.071; -0.061; -0.132
 18000;  4.50;-1.5; -0.660; -0.174; -0.087; -0.181; -0.562; -0.094; -0.072; -0.060; -0.132
 18000;  5.00;-1.5; -0.648; -0.161; -0.088; -0.182; -0.566; -0.093; -0.072; -0.060; -0.132
 19000;  2.50;-1.5; -0.852; -0.188; -0.075; -0.167; -0.583; -0.091; -0.070; -0.070; -0.140
 19000;  3.00;-1.5; -0.787; -0.200; -0.084; -0.182; -0.594; -0.098; -0.073; -0.069; -0.142
 19000;  3.50;-1.5; -0.747; -0.200; -0.088; -0.188; -0.596; -0.100; -0.074; -0.067; -0.141
 19000;  4.00;-1.5; -0.720; -0.195; -0.090; -0.191; -0.597; -0.101; -0.076; -0.066; -0.141
 19000;  4.50;-1.5; -0.701; -0.186; -0.092; -0.193; -0.599; -0.101; -0.077; -0.065; -0.141
 19000;  5.00;-1.5; -0.690; -0.174; -0.094; -0.194; -0.602; -0.100; -0.077; -0.064; -0.141
 20000;  3.00;-1.5; -0.826; -0.209; -0.089; -0.193; -0.629; -0.104; -0.078; -0.073; -0.151
 20000;  3.50;-1.5; -0.786; -0.210; -0.093; -0.199; -0.630; -0.106; -0.079; -0.071; -0.150
 20000;  4.00;-1.5; -0.759; -0.205; -0.095; -0.202; -0.631; -0.106; -0.080; -0.070; -0.150
 20000;  4.50;-1.5; -0.740; -0.196; -0.097; -0.203; -0.633; -0.107; -0.081; -0.068; -0.149
 20000;  5.00;-1.5; -0.728; -0.185; -0.098; -0.204; -0.636; -0.106; -0.081; -0.068; -0.150
 21000;  3.00;-1.5; -0.861; -0.218; -0.094; -0.203; -0.661; -0.109; -0.082; -0.077; -0.159
 21000;  3.50;-1.5; -0.821; -0.219; -0.098; -0.209; -0.663; -0.111; -0.083; -0.075; -0.158
 21000;  4.00;-1.5; -0.794; -0.214; -0.100; -0.212; -0.663; -0.112; -0.084; -0.074; -0.158
 21000;  4.50;-1.5; -0.776; -0.207; -0.101; -0.213; -0.665; -0.112; -0.085; -0.073; -0.158
 21000;  5.00;-1.5; -0.764; -0.196; -0.103; -0.214; -0.667; -0.112; -0.085; -0.073; -0.158
 22000;  3.00;-1.5; -0.895; -0.226; -0.097; -0.212; -0.692; -0.115; -0.087; -0.081; -0.168
 22000;  3.50;-1.5; -0.852; -0.228; -0.102; -0.218; -0.694; -0.117; -0.088; -0.079; -0.167
 22000;  4.00;-1.5; -0.826; -0.223; -0.104; -0.221; -0.693; -0.117; -0.088; -0.078; -0.166
 22000;  4.50;-1.5; -0.809; -0.216; -0.106; -0.223; -0.694; -0.117; -0.089; -0.077; -0.165
 22000;  5.00;-1.5; -0.797; -0.206; -0.107; -0.224; -0.697; -0.117; -0.089; -0.076; -0.165
 23000;  3.00;-1.5; -0.926; -0.233; -0.101; -0.220; -0.721; -0.119; -0.091; -0.085; -0.175
 23000;  3.50;-1.5; -0.882; -0.236; -0.106; -0.228; -0.723; -0.122; -0.092; -0.083; -0.175
 23000;  4.00;-1.5; -0.855; -0.232; -0.108; -0.230; -0.722; -0.122; -0.092; -0.081; -0.174
 23000;  4.50;-1.5; -0.838; -0.225; -0.109; -0.231; -0.722; -0.122; -0.093; -0.080; -0.173
 23000;  5.00;-1.5; -0.828; -0.215; -0.111; -0.232; -0.725; -0.121; -0.093; -0.081; -0.173
 24000;  3.00;-1.5; -0.956; -0.240; -0.105; -0.229; -0.750; -0.124; -0.095; -0.088; -0.183
 24000;  3.50;-1.5; -0.909; -0.243; -0.110; -0.236; -0.751; -0.127; -0.096; -0.086; -0.182
 24000;  4.00;-1.5; -0.882; -0.240; -0.112; -0.239; -0.750; -0.128; -0.096; -0.085; -0.181
 24000;  4.50;-1.5; -0.865; -0.233; -0.113; -0.240; -0.750; -0.127; -0.096; -0.084; -0.181
 24000;  5.00;-1.5; -0.855; -0.224; -0.115; -0.242; -0.752; -0.127; -0.096; -0.084; -0.180
 25000;  3.00;-1.5; -0.986; -0.246; -0.108; -0.237; -0.778; -0.129; -0.100; -0.092; -0.192
 25000;  3.50;-1.5; -0.935; -0.251; -0.113; -0.245; -0.779; -0.132; -0.100; -0.090; -0.190
 25000;  4.00;-1.5; -0.907; -0.248; -0.115; -0.247; -0.777; -0.132; -0.100; -0.089; -0.189
 25000;  4.50;-1.5; -0.890; -0.241; -0.117; -0.249; -0.777; -0.132; -0.100; -0.088; -0.188
 25000;  5.00;-1.5; -0.881; -0.233; -0.118; -0.249; -0.778; -0.131; -0.100; -0.088; -0.188
 26000;  3.00;-1.5; -1.019; -0.250; -0.110; -0.243; -0.804; -0.132; -0.104; -0.096; -0.200
 26000;  3.50;-1.5; -0.960; -0.258; -0.117; -0.253; -0.805; -0.136; -0.104; -0.094; -0.198
 26000;  4.00;-1.5; -0.931; -0.255; -0.119; -0.256; -0.803; -0.137; -0.104; -0.092; -0.196
 26000;  4.50;-1.5; -0.914; -0.249; -0.120; -0.257; -0.802; -0.137; -0.104; -0.092; -0.196
 26000;  5.00;-1.5; -0.904; -0.241; -0.122; -0.257; -0.803; -0.136; -0.104; -0.091; -0.195
 27000;  3.50;-1.5; -0.983; -0.265; -0.121; -0.262; -0.832; -0.141; -0.108; -0.097; -0.205
 27000;  4.00;-1.5; -0.954; -0.262; -0.122; -0.264; -0.828; -0.141; -0.108; -0.096; -0.203
 27000;  4.50;-1.5; -0.936; -0.256; -0.124; -0.265; -0.827; -0.141; -0.108; -0.095; -0.203
 27000;  5.00;-1.5; -0.927; -0.248; -0.125; -0.266; -0.828; -0.141; -0.107; -0.095; -0.202
 28000;  3.50;-1.5; -1.008; -0.271; -0.124; -0.269; -0.857; -0.145; -0.112; -0.101; -0.213
 28000;  4.00;-1.5; -0.975; -0.270; -0.126; -0.272; -0.853; -0.146; -0.111; -0.099; -0.210
 28000;  4.50;-1.5; -0.957; -0.264; -0.127; -0.272; -0.851; -0.145; -0.111; -0.098; -0.209
 28000;  5.00;-1.5; -0.948; -0.256; -0.128; -0.273; -0.852; -0.145; -0.111; -0.098; -0.209
 29000;  3.50;-1.5; -1.033; -0.276; -0.125; -0.273; -0.875; -0.148; -0.114; -0.103; -0.218
 29000;  4.00;-1.5; -0.997; -0.276; -0.129; -0.279; -0.877; -0.150; -0.115; -0.102; -0.217
 29000;  4.50;-1.5; -0.978; -0.271; -0.130; -0.280; -0.874; -0.149; -0.114; -0.101; -0.216
 29000;  5.00;-1.5; -0.968; -0.263; -0.131; -0.280; -0.874; -0.149; -0.114; -0.101; -0.215
 30000;  3.50;-1.5; -1.057; -0.278; -0.126; -0.275; -0.887; -0.149; -0.116; -0.105; -0.221
 30000;  4.00;-1.5; -1.018; -0.282; -0.132; -0.285; -0.897; -0.153; -0.118; -0.105; -0.222
 30000;  4.50;-1.5; -0.998; -0.277; -0.133; -0.287; -0.895; -0.153; -0.117; -0.104; -0.221
 30000;  5.00;-1.5; -0.988; -0.270; -0.134; -0.287; -0.895; -0.153; -0.117; -0.104; -0.221
 31000;  3.50;-1.5; -1.078; -0.279; -0.125; -0.274; -0.892; -0.149; -0.116; -0.106; -0.222
 31000;  4.00;-1.5; -1.039; -0.287; -0.134; -0.290; -0.913; -0.156; -0.120; -0.107; -0.226
 31000;  4.50;-1.5; -1.018; -0.284; -0.136; -0.293; -0.914; -0.157; -0.120; -0.106; -0.226
 31000;  5.00;-1.5; -1.007; -0.277; -0.137; -0.293; -0.914; -0.156; -0.119; -0.106; -0.226
 32000;  4.00;-1.5; -1.059; -0.291; -0.135; -0.293; -0.925; -0.158; -0.121; -0.108; -0.229
 32000;  4.50;-1.5; -1.037; -0.289; -0.138; -0.298; -0.930; -0.159; -0.122; -0.108; -0.230
 32000;  5.00;-1.5; -1.026; -0.283; -0.139; -0.299; -0.931; -0.160; -0.121; -0.108; -0.230
 33000;  4.00;-1.5; -1.076; -0.294; -0.136; -0.294; -0.933; -0.158; -0.122; -0.109; -0.231
 33000;  4.50;-1.5; -1.055; -0.294; -0.140; -0.301; -0.943; -0.162; -0.123; -0.110; -0.233
 33000;  5.00;-1.5; -1.043; -0.289; -0.141; -0.303; -0.945; -0.162; -0.123; -0.110; -0.233
 34000;  4.00;-1.5; -1.091; -0.295; -0.135; -0.294; -0.936; -0.158; -0.122; -0.110; -0.232
 34000;  4.50;-1.5; -1.071; -0.298; -0.141; -0.304; -0.952; -0.163; -0.124; -0.111; -0.235
 34000;  5.00;-1.5; -1.060; -0.294; -0.143; -0.307; -0.956; -0.164; -0.124; -0.111; -0.235
 35000;  4.00;-1.5; -1.103; -0.296; -0.134; -0.292; -0.935; -0.157; -0.122; -0.110; -0.232
 35000;  4.50;-1.5; -1.085; -0.301; -0.141; -0.305; -0.958; -0.163; -0.125; -0.111; -0.236
 35000;  5.00;-1.5; -1.075; -0.299; -0.144; -0.310; -0.965; -0.165; -0.125; -0.112; -0.237
 37500;  4.50;-1.5; -1.112; -0.305; -0.140; -0.301; -0.957; -0.162; -0.124; -0.112; -0.236
 37500;  5.00;-1.5; -1.104; -0.305; -0.145; -0.310; -0.973; -0.166; -0.126; -0.113; -0.239
 40000;  4.50;-1.5; -1.128; -0.308; -0.139; -0.299; -0.952; -0.160; -0.122; -0.112; -0.235
 40000;  5.00;-1.5; -1.123; -0.309; -0.143; -0.307; -0.968; -0.164; -0.125; -0.113; -0.238
 42500;  5.00;-1.5; -1.134; -0.313; -0.143; -0.307; -0.969; -0.164; -0.124; -0.114; -0.238
 45000;  5.00;-1.5; -1.142; -0.317; -0.144; -0.309; -0.974; -0.165; -0.125; -0.115; -0.240
 47500;  5.00;-1.5; -1.149; -0.321; -0.145; -0.312; -0.982; -0.167; -0.126; -0.116; -0.242
 50000;  5.00;-1.5; -1.155; -0.324; -0.147; -0.315; -0.990; -0.168; -0.127; -0.117; -0.244
  2000;  3.50;-2.0;  3.908;  4.152;  3.943;  6.666;  9.111;  2.723;  0.635;  0.337;  0.972
  2000;  4.00;-2.0;  4.211;  4.337;  3.498;  6.164;  8.083;  2.667;  0.518;  0.315;  0.833
  2000;  4.50;-2.0;  4.447;  4.501;  3.060;  5.645;  7.037;  2.585;  0.414;  0.303;  0.717
  2000;  5.00;-2.0;  4.588;  4.633;  2.702;  5.183;  6.036;  2.480;  0.335;  0.263;  0.598
  2000;  5.50;-2.0;  4.571;  4.758;  2.446;  4.810;  5.061;  2.364;  0.298;  0.200;  0.497
  2200;  3.50;-2.0;  4.032;  4.070;  2.841;  5.343;  7.388;  2.502;  0.544;  0.287;  0.831
